Item_Identifier,Outlet_Identifier,Item_Outlet_Sales,Item_Outlet_Sales,Item_Outlet_Sales,Item_Outlet_Sales,Item_Outlet_Sales,Item_Outlet_Sales,Item_Outlet_Sales,Item_Outlet_Sales,Item_Outlet_Sales,Item_Outlet_Sales,Item_Outlet_Sales,Item_Outlet_Sales
FDW58,OUT049,1731.419,1731.419,1731.419,1731.419,1731.419,1731.419,1731.419,1731.419,1731.419,1731.419,1731.419,1731.419
FDW14,OUT017,1356.154,1356.154,1356.154,1356.154,1356.154,1356.154,1356.154,1356.154,1356.154,1356.154,1356.154,1356.154
NCN55,OUT010,613.88,613.88,613.88,613.88,613.88,613.88,613.88,613.88,613.88,613.88,613.88,613.88
FDQ58,OUT017,2359.496,2359.496,2359.496,2359.496,2359.496,2359.496,2359.496,2359.496,2359.496,2359.496,2359.496,2359.496
FDY38,OUT027,6163.916,6163.916,6163.916,6163.916,6163.916,6163.916,6163.916,6163.916,6163.916,6163.916,6163.916,6163.916
FDH56,OUT046,1687.413,1687.413,1687.413,1687.413,1687.413,1687.413,1687.413,1687.413,1687.413,1687.413,1687.413,1687.413
FDL48,OUT018,601.149,601.149,601.149,601.149,601.149,601.149,601.149,601.149,601.149,601.149,601.149,601.149
FDC48,OUT027,2158.121,2158.121,2158.121,2158.121,2158.121,2158.121,2158.121,2158.121,2158.121,2158.121,2158.121,2158.121
FDN33,OUT045,1509.89,1509.89,1509.89,1509.89,1509.89,1509.89,1509.89,1509.89,1509.89,1509.89,1509.89,1509.89
FDA36,OUT017,3219.077,3219.077,3219.077,3219.077,3219.077,3219.077,3219.077,3219.077,3219.077,3219.077,3219.077,3219.077
FDT44,OUT017,1966.407,1966.407,1966.407,1966.407,1966.407,1966.407,1966.407,1966.407,1966.407,1966.407,1966.407,1966.407
FDQ56,OUT045,1388.745,1388.745,1388.745,1388.745,1388.745,1388.745,1388.745,1388.745,1388.745,1388.745,1388.745,1388.745
NCC54,OUT019,625.283,625.283,625.283,625.283,625.283,625.283,625.283,625.283,625.283,625.283,625.283,625.283
FDU11,OUT049,2139.178,2139.178,2139.178,2139.178,2139.178,2139.178,2139.178,2139.178,2139.178,2139.178,2139.178,2139.178
DRL59,OUT013,710.722,710.722,710.722,710.722,710.722,710.722,710.722,710.722,710.722,710.722,710.722,710.722
