Item_Identifier,Outlet_Identifier,Item_Outlet_Sales
FDW58,OUT049,1587.0288534393042
FDW14,OUT017,1452.0844930795313
NCN55,OUT010,574.8872742881712
FDQ58,OUT017,2497.383229373689
FDY38,OUT027,5839.864290877649
FDH56,OUT046,1930.2065157244879
FDL48,OUT018,731.8766632040104
FDC48,OUT027,2205.442639046705
FDN33,OUT045,1533.241534263505
FDA36,OUT017,3051.299684933907
FDT44,OUT017,1947.6770517190087
FDQ56,OUT045,1432.0405003079895
NCC54,OUT019,575.6207699378112
FDU11,OUT049,2005.656018456134
DRL59,OUT013,832.3969484986596
FDM24,OUT049,2482.249938419404
FDI57,OUT045,3109.964605926582
DRC12,OUT018,3049.0969797026382
NCM42,OUT027,2895.836783940653
FDA46,OUT010,504.6258283402444
FDA31,OUT013,2865.523463895029
NCJ31,OUT035,3886.1176960847747
FDG52,OUT046,734.4237306507216
NCL19,OUT019,289.15321936970895
FDS10,OUT035,3025.793549724988
FDX22,OUT010,566.5425793824211
NCF19,OUT035,730.3441370534896
NCE06,OUT046,2555.3791574217194
DRC27,OUT046,3894.3684797863416
FDE21,OUT035,1927.7469458424794
NCR42,OUT019,131.60226693359024
FDX51,OUT018,3049.0969797026382
NCR06,OUT018,665.7547875771284
FDU31,OUT027,5839.864290877649
FDU59,OUT017,2562.1945830641093
FDR03,OUT027,5837.386648418969
FDS49,OUT027,2131.711478201219
FDD48,OUT010,265.70357894253044
NCF18,OUT017,3049.322423997792
NCD43,OUT027,2858.6036852573397
NCD54,OUT018,2120.137999733395
FDY19,OUT010,265.75490312138044
NCY54,OUT017,2865.523463895029
NCL19,OUT018,2473.17769783163
FDP23,OUT010,571.0622389282427
FDC26,OUT013,1713.5003296552607
FDR14,OUT010,131.60226693359024
NCS41,OUT035,3049.322423997792
FDF41,OUT035,3919.117022268409
FDU34,OUT046,2007.80526405719
DRH11,OUT046,969.2211961924182
FDM03,OUT013,1587.0288534393042
FDS31,OUT017,3030.9347915914445
FDJ20,OUT017,2005.656018456134
FDV44,OUT027,5192.1713525745445
FDG02,OUT049,3051.299684933907
FDA09,OUT013,2963.484282311485
FDT04,OUT013,712.4799231944561
FDL58,OUT019,573.1585133038418
FDE52,OUT045,1476.6043987008115
FDW12,OUT035,2473.17769783163
FDL51,OUT017,3681.683387243164
NCY42,OUT027,3024.0404421489116
FDR07,OUT017,1538.8700157356463
FDN40,OUT045,2484.4292599271303
FDB35,OUT027,2663.9127241970896
FDA22,OUT017,2562.1945830641093
NCL06,OUT046,4050.1128156296
FDI35,OUT013,3030.9347915914445
NCW42,OUT045,3798.461000063369
NCX06,OUT049,2982.752751801398
FDC37,OUT027,2888.597750556863
FDZ14,OUT018,2005.656018456134
DRG49,OUT049,3889.517979002957
NCG06,OUT045,4042.08265195444
DRC36,OUT045,2865.523463895029
FDV21,OUT019,280.4857415007627
FDB53,OUT046,2475.4111837555524
DRP47,OUT019,572.9135976068509
FDA14,OUT013,2473.17769783163
DRC24,OUT035,2484.4292599271303
FDW21,OUT018,1572.2713054284916
NCH29,OUT046,1538.8700157356463
FDU58,OUT013,3051.299684933907
FDY27,OUT017,2884.6284845258137
FDV56,OUT035,1591.9044689997068
FDT59,OUT046,3819.7559381909196
FDB23,OUT046,3801.237759677635
FDR49,OUT045,730.1577008963682
FDB03,OUT010,576.5012045538991
FDN39,OUT045,2562.1945830641093
FDX02,OUT027,5839.864290877649
FDQ16,OUT027,2877.50688441813
FDU35,OUT018,1545.8524719982533
NCT29,OUT013,2005.656018456134
