iter	RMSE
0	0.9771435856
1	0.944423787
2	0.9159851605
3	0.8875413763
4	0.8608034809
5	0.8363228103
6	0.8133828178
7	0.790827215
8	0.7701139299
9	0.7507767419
10	0.7327787957
11	0.7168041468
12	0.7025304613
13	0.6876473066
14	0.6764346372
15	0.6642501752
16	0.6526511172
17	0.642045871
18	0.6315589812
19	0.622567308
20	0.6139625955
21	0.6073668138
22	0.6005808747
23	0.5941927211
24	0.587743017
25	0.5814423941
26	0.5768177737
27	0.5717361739
28	0.5680239846
29	0.5637896981
30	0.5594246895
31	0.5555491243
32	0.5523707418
33	0.5505530202
34	0.5474586882
35	0.5445354395
36	0.5423006557
37	0.5402543454
38	0.5383295715
39	0.5359135622
40	0.5339189493
41	0.5324479234
42	0.5306010237
43	0.5288495694
44	0.5274861518
45	0.5261009465
46	0.5247207158
47	0.5238693352
48	0.5232690076
49	0.5219440858
50	0.5209336539
51	0.5197734986
52	0.519092222
53	0.5183619671
54	0.517476388
55	0.5166468965
56	0.5158906054
57	0.5152154358
58	0.5145549977
59	0.5139583225
60	0.5134769993
61	0.512748763
62	0.5120648608
63	0.5114040296
64	0.5109709184
65	0.5104506472
66	0.5099941662
67	0.5093684783
68	0.509050784
69	0.5086710332
70	0.50834207
71	0.5078075428
72	0.5075280597
73	0.5072693289
74	0.506811682
75	0.5063799206
76	0.5057341211
77	0.5055793813
78	0.5051341866
79	0.5045012661
80	0.5040616985
81	0.5038035729
82	0.5033104185
83	0.5028692398
84	0.5025486515
85	0.5020833481
86	0.5020463029
87	0.5017569745
88	0.5013866455
89	0.5010680779
90	0.5007589474
91	0.5001508495
92	0.5000991533
93	0.4997832543
94	0.4993561994
95	0.4991391364
96	0.4988474784
97	0.4984291595
98	0.4981240906
99	0.4977795968
100	0.4975578221
101	0.4973553804
102	0.4971108575
103	0.496935491
104	0.496768063
105	0.4964137006
106	0.4960262524
107	0.4957670109
108	0.495601663
109	0.4952741697
110	0.4951465414
111	0.4948537686
112	0.4946752134
113	0.4945828309
114	0.4942803061
115	0.4938834475
116	0.4936093571
117	0.4933521947
118	0.4930944839
119	0.4929574607
120	0.4929450984
121	0.4927470853
122	0.4923906336
123	0.4921306319
124	0.491814159
125	0.4915180617
126	0.4911632614
127	0.4909095328
128	0.4907326083
129	0.4904215295
130	0.4902953973
131	0.4901197435
132	0.4898447753
133	0.489638548
134	0.4893463728
135	0.4892129867
136	0.4888493448
137	0.4887105906
138	0.4883163042
139	0.4881633161
140	0.4880715311
141	0.4879435737
142	0.4879256931
143	0.487778522
144	0.4877358918
145	0.4876762176
146	0.4876726636
147	0.4874822887
148	0.4871676557
149	0.4869562679
150	0.4866876685
151	0.4864897384
152	0.4863149655
153	0.4861920078
154	0.4859128961
155	0.4859054803
156	0.4856914568
157	0.4855143969
158	0.4853158243
159	0.4851236667
160	0.4849716724
161	0.4847998751
162	0.4846605209
163	0.4842841328
164	0.4840561422
165	0.4839603642
166	0.4838338
167	0.4835544454
168	0.4831793711
169	0.4829422079
170	0.4827548003
171	0.4824203203
172	0.4821477749
173	0.4820517397
174	0.4818479919
175	0.4816406762
176	0.4813327703
177	0.4811441461
178	0.4810339043
179	0.4806892465
180	0.4803699207
181	0.4801518417
182	0.4799284743
183	0.4796347892
184	0.4794991221
185	0.4792177788
186	0.4790731268
187	0.4789827897
188	0.4785529137
189	0.4784321622
190	0.4782091987
191	0.4781622208
192	0.477900989
193	0.4778134998
194	0.4776586897
195	0.4775196708
196	0.4773745452
197	0.4771823335
198	0.4770128805
199	0.4768230752
200	0.4767039556
201	0.4764259612
202	0.4762855684
203	0.4761671227
204	0.4759555489
205	0.4758477851
206	0.4756142495
207	0.4753732994
208	0.4751831071
209	0.4749697302
210	0.4747620163
211	0.474486852
212	0.4743314864
213	0.4741402058
214	0.4738580074
215	0.473701464
216	0.4735736912
217	0.473246159
218	0.4730994494
219	0.4728503121
220	0.4727244767
221	0.472600762
222	0.4724166528
223	0.4723113105
224	0.4721242789
225	0.4719049423
226	0.4718108662
227	0.4716951683
228	0.4715669518
229	0.4714251119
230	0.4712796136
231	0.471109925
232	0.4710055797
233	0.4708135972
234	0.4706111951
235	0.470452633
236	0.4702988028
237	0.4701370732
238	0.4700228537
239	0.4698086311
240	0.4696081798
241	0.469482572
242	0.4693118395
243	0.4691051964
244	0.4688800699
245	0.4687631632
246	0.4686345033
247	0.468494309
248	0.4682863322
249	0.4681479289
250	0.4678873805
251	0.4676612338
252	0.4674852947
253	0.4673310446
254	0.467104046
255	0.4668516926
256	0.4666882099
257	0.4664456088
258	0.4662221135
259	0.4660763383
260	0.4658610131
261	0.4657196647
262	0.4655168393
263	0.4653518409
264	0.4652041608
265	0.465064132
266	0.4648788728
267	0.4647602525
268	0.4646148885
269	0.4644574162
270	0.4642340127
271	0.4639844564
272	0.4637761177
273	0.4635537662
274	0.4634146492
275	0.4632734765
276	0.4630589795
277	0.4628577084
278	0.4627074728
279	0.462497145
280	0.4622500639
281	0.4621038481
282	0.4619373115
283	0.4617451547
284	0.4614591991
285	0.4613650111
286	0.4612055923
287	0.46108642
288	0.4609101144
289	0.460788452
290	0.4605721376
291	0.4604161895
292	0.4601541938
293	0.4600119199
294	0.4599635851
295	0.4597588969
296	0.4595630454
297	0.4593469974
298	0.4592763065
299	0.4591548121
300	0.4590056969
301	0.45885346
302	0.4587079205
303	0.4586431344
304	0.4585726177
305	0.4583691932
306	0.4581961605
307	0.4580913241
308	0.4578418526
309	0.4575916105
310	0.4574608705
311	0.4573401107
312	0.4569837513
313	0.4568449285
314	0.4565306827
315	0.4564620335
316	0.4562753888
317	0.4560865208
318	0.4559148301
319	0.455790736
320	0.4555572744
321	0.4552976318
322	0.4551470599
323	0.4550037353
324	0.4548586567
325	0.4548199132
326	0.4546307556
327	0.454458414
328	0.4543381084
329	0.4542226582
330	0.4540333443
