iter	Passed	Remaining
0	4	4981
1	7	3973
2	9	3248
3	13	3266
4	16	3191
5	19	3287
6	22	3246
7	25	3221
8	29	3199
9	32	3213
10	35	3185
11	38	3162
12	41	3120
13	43	3084
14	46	3078
15	49	3054
16	52	3046
17	55	3043
18	58	3025
19	61	3029
20	64	3029
21	66	2960
22	69	2953
23	72	2954
24	75	2947
25	78	2922
26	80	2905
27	83	2887
28	84	2840
29	87	2834
30	90	2819
31	92	2808
32	95	2805
33	96	2752
34	99	2743
35	102	2747
36	105	2742
37	107	2731
38	110	2726
39	113	2732
40	116	2729
41	119	2724
42	122	2725
43	126	2739
44	128	2731
45	131	2733
46	134	2727
47	137	2726
48	138	2692
49	141	2695
50	145	2702
51	148	2702
52	150	2695
53	153	2683
54	156	2682
55	158	2675
56	161	2671
57	164	2668
58	167	2664
59	169	2652
60	171	2643
61	174	2639
62	177	2634
63	179	2629
64	182	2623
65	184	2614
66	188	2619
67	190	2614
68	193	2607
69	195	2601
70	198	2594
71	200	2589
72	203	2585
73	205	2576
74	208	2569
75	210	2564
76	213	2558
77	215	2542
78	217	2537
79	219	2529
80	222	2526
81	225	2519
82	227	2514
83	229	2507
84	232	2503
85	235	2498
86	235	2474
87	238	2470
88	240	2465
89	243	2459
90	245	2451
91	248	2455
92	249	2436
93	252	2434
94	255	2430
95	257	2424
96	260	2421
97	262	2415
98	264	2409
99	267	2405
100	269	2399
101	271	2394
102	274	2390
103	276	2386
104	279	2380
105	282	2380
106	284	2376
107	287	2371
108	289	2364
109	291	2361
110	294	2357
111	296	2352
112	298	2346
113	301	2340
114	303	2335
115	306	2333
116	308	2330
117	311	2326
118	313	2323
119	316	2317
120	316	2300
121	319	2296
122	321	2292
123	324	2290
124	326	2286
125	328	2280
126	331	2278
127	334	2275
128	336	2269
129	338	2264
130	340	2260
131	342	2254
132	345	2252
133	348	2251
134	351	2250
135	353	2245
136	355	2241
137	358	2237
138	360	2235
139	363	2230
140	365	2226
141	367	2220
142	368	2209
143	371	2205
144	373	2202
145	376	2200
146	376	2186
147	379	2182
148	381	2178
149	384	2176
150	386	2173
151	388	2169
152	391	2165
153	393	2162
154	396	2160
155	397	2148
156	399	2144
157	401	2139
158	404	2136
159	406	2132
160	408	2128
161	410	2124
162	413	2122
163	415	2120
164	418	2117
165	420	2113
166	422	2109
167	425	2106
168	428	2106
169	430	2102
170	433	2102
171	435	2098
172	438	2095
173	440	2092
174	443	2090
175	445	2088
176	448	2084
177	450	2080
178	452	2076
179	455	2073
180	457	2070
181	459	2067
182	462	2064
183	464	2061
184	467	2058
185	469	2056
186	472	2054
187	474	2050
188	477	2047
189	480	2046
190	482	2043
191	485	2041
192	487	2038
193	490	2037
194	492	2034
195	495	2031
196	497	2029
197	500	2027
198	502	2024
199	505	2022
200	507	2019
201	510	2016
202	512	2013
203	515	2010
204	517	2006
205	519	2003
206	522	2001
207	524	1997
208	527	1995
209	529	1992
210	531	1988
211	534	1986
212	537	1986
213	539	1983
214	542	1980
215	544	1977
216	547	1975
217	550	1973
218	552	1971
219	555	1968
220	558	1968
221	561	1968
222	564	1965
223	566	1961
224	568	1957
225	571	1955
226	573	1952
227	576	1950
228	578	1948
229	580	1944
230	583	1941
231	585	1939
232	588	1938
233	591	1935
234	593	1932
235	596	1930
236	598	1928
237	601	1925
238	603	1922
239	606	1919
240	609	1918
241	611	1915
242	614	1914
243	616	1911
244	619	1908
245	621	1904
246	623	1900
247	625	1898
248	628	1895
249	631	1893
250	633	1890
251	635	1886
252	638	1884
253	640	1880
254	642	1877
255	645	1875
256	647	1872
257	649	1869
258	652	1866
259	654	1863
260	657	1860
261	659	1858
262	661	1855
263	664	1852
264	667	1850
265	669	1846
266	671	1843
267	673	1839
268	675	1836
269	678	1835
270	680	1831
271	683	1829
272	686	1827
273	688	1824
274	690	1821
275	693	1818
276	696	1817
277	698	1814
278	701	1811
279	703	1809
280	706	1806
281	708	1804
282	711	1801
283	713	1799
284	716	1796
285	718	1793
286	721	1791
287	723	1788
288	725	1785
289	727	1781
290	730	1779
291	732	1776
292	735	1774
293	737	1771
294	740	1768
295	742	1766
296	744	1763
297	747	1760
298	749	1757
299	752	1755
300	754	1752
301	757	1750
302	760	1748
303	762	1746
304	765	1743
305	768	1742
306	770	1739
307	773	1737
308	775	1735
309	778	1732
310	780	1730
311	783	1727
312	785	1725
313	788	1721
314	790	1719
315	792	1715
316	795	1712
317	797	1710
318	800	1708
319	802	1705
320	805	1703
321	807	1701
322	810	1698
323	812	1695
324	815	1692
325	816	1687
326	818	1684
327	821	1682
328	823	1679
329	826	1677
330	828	1675
331	831	1672
332	834	1670
333	836	1667
334	838	1665
335	841	1662
336	843	1659
337	845	1656
338	847	1651
339	849	1649
